centroid_x,centroid_y,date,location,state,total_active_cases
101.6646913082317,3.103248041024393,30/03/2025,"DESA AMAN 2 (PDRM),KONDO RAKYAT",WILAYAH PERSEKUTUAN,2
101.63808904276775,3.1117116043741904,30/03/2025,"E10. BG SEK 12 (TERES 3) [JLN 12/15,12/15A,12/15B,12/17,12/17A-17C,12/19,12/21A]",SELANGOR,1
101.66164597556362,3.112957764084845,30/03/2025,"VISTA ANGKASA (BLOK 3,4,5,6,7,8)",WILAYAH PERSEKUTUAN,1
101.63091334559154,3.1202950877112707,30/03/2025,"E10. BG SEK 17 (TERES 1) [JLN 17/2 , 17/4 , 17/6 , 17/11 , 17/19]",SELANGOR,1
101.66896999044967,3.133088928288595,30/03/2025,BANGSAR BARU (JLN TERASEK 4-6),WILAYAH PERSEKUTUAN,1
101.61317852252695,3.1377334584311365,30/03/2025,"E8. BU PJU 6 BU 1 (TERES 1) [JLN 1/1, 1/1A, 1/9 - 1/15],E8. BU PJU 6A RUMAH PANGSA KG KAYU ARA",SELANGOR,2
101.66141689690909,3.145009593551949,30/03/2025,"BUKIT DAMANSARA ( JLN SETIAJASA),PUSAT BANDAR DAMANSARA TWINS DAMANSARA (2 BLIK CONDO 36 TINGKAT)",WILAYAH PERSEKUTUAN,2
101.61352438228457,3.080938398304345,31/03/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6),E11. SRI PJS 8 MENTARI COURT,E13. PJS 7/13 (SUNWAY COURT) BLOK A, B, C, D",SELANGOR,3
101.62874372698693,3.0836899771764683,31/03/2025,"E12. TM PJS 2C FLAT DESA MENTARI (BLOK 9 , 10)",SELANGOR,1
101.69617388587314,3.08864463355597,31/03/2025,"KG BARU SALAK SELATAN F (SBHG JLN 28, SBHG JLN 32. JALAN 29-31),KG BARU SALAK SELATAN G(SBHG JLN 28, SBHG JLN 21, SBHG JLN 32,35,36,38),KUCHAI ENTREPRENEURS PARK (JALAN 2/116B),RESIDENSI FAR EAST",WILAYAH PERSEKUTUAN,4
101.61116766910274,3.0905219469726055,31/03/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,1
101.6646913082317,3.103248041024393,31/03/2025,"DESA AMAN 2 (PDRM),KONDO RAKYAT",WILAYAH PERSEKUTUAN,2
101.63808904276775,3.1117116043741904,31/03/2025,"E10. BG SEK 12 (TERES 3) [JLN 12/15,12/15A,12/15B,12/17,12/17A-17C,12/19,12/21A]",SELANGOR,1
101.66164597556362,3.112957764084845,31/03/2025,"VISTA ANGKASA (BLOK 3,4,5,6,7,8)",WILAYAH PERSEKUTUAN,1
101.63091334559154,3.1202950877112707,31/03/2025,"E10. BG SEK 17 (TERES 1) [JLN 17/2 , 17/4 , 17/6 , 17/11 , 17/19]",SELANGOR,1
101.66901150826668,3.133146774793337,31/03/2025,BANGSAR BARU (JLN TERASEK 4-6),WILAYAH PERSEKUTUAN,1
101.61317852252695,3.1377334584311365,31/03/2025,"E8. BU PJU 6 BU 1 (TERES 1) [JLN 1/1, 1/1A, 1/9 - 1/15],E8. BU PJU 6A RUMAH PANGSA KG KAYU ARA",SELANGOR,2
101.66141689690909,3.145009593551949,31/03/2025,"BUKIT DAMANSARA ( JLN SETIAJASA),PUSAT BANDAR DAMANSARA TWINS DAMANSARA (2 BLIK CONDO 36 TINGKAT)",WILAYAH PERSEKUTUAN,2
101.61352438228457,3.080938398304345,01/04/2025,"E11. SRI PJS 6 FLAT DESA MENTARI 2 (BLOK 4 , 5 , 6),E11. SRI PJS 8 MENTARI COURT,E13. PJS 7/13 (SUNWAY COURT) BLOK A, B, C, D",SELANGOR,3
101.62874372698693,3.0836899771764683,01/04/2025,"E12. TM PJS 2C FLAT DESA MENTARI (BLOK 9 , 10)",SELANGOR,1
101.69617388587314,3.08864463355597,01/04/2025,"KG BARU SALAK SELATAN F (SBHG JLN 28, SBHG JLN 32. JALAN 29-31),KG BARU SALAK SELATAN G(SBHG JLN 28, SBHG JLN 21, SBHG JLN 32,35,36,38),KUCHAI ENTREPRENEURS PARK (JALAN 2/116B),RESIDENSI FAR EAST",WILAYAH PERSEKUTUAN,4
101.61116766910274,3.0905219469726055,01/04/2025,E9. KT SS 8 APT KELANA IMPIAN,SELANGOR,1
101.6646913082317,3.103248041024393,01/04/2025,"DESA AMAN 2 (PDRM),KONDO RAKYAT",WILAYAH PERSEKUTUAN,2
101.63808904276775,3.1117116043741904,01/04/2025,"E10. BG SEK 12 (TERES 3) [JLN 12/15,12/15A,12/15B,12/17,12/17A-17C,12/19,12/21A]",SELANGOR,1
101.66125221093465,3.1127416621764707,01/04/2025,"VISTA ANGKASA (BLOK 3,4,5,6,7,8)",WILAYAH PERSEKUTUAN,1
101.63091334559154,3.1202950877112707,01/04/2025,"E10. BG SEK 17 (TERES 1) [JLN 17/2 , 17/4 , 17/6 , 17/11 , 17/19]",SELANGOR,1
