Credit name,Status,Currency,Percent remaining,Remaining value,Original value,Type,Credit ID,Scope,Start date,End date,Credit application type
Free Trial,Expired,RM,99.99993834616144,1266.75,1266.75,One-time,FreeTrial:Credit-019440-E64BEF-9941F4,Certain usage; see the terms for free trial.,2025-10-31,2025-12-18,Net pricing,
Free Trial,Expired,RM,99.64490333530689,1262.25,1266.75,One-time,FreeTrialUpgrade:CreditId-FreeTrial:Credit-019440-E64BEF-9941F4,Certain usage; see the terms for free trial.,2025-12-18,2026-01-31,Net pricing,
